ID_Caso,Fecha_Inicio,Tipo_Contrato,Entidad_Publica,Empresa_Privada,Monto_Contrato,Descripcion_Servicio,Estado_Contrato,Funcionario_Publico,Relacion_Funcionario_Empresa,Pagos_Realizados,Monto_Pagado,Informacion_Adicional,Sospecha_Corrupcion
190,2023-08-12,Suministro,Municipalidad de Formosa,Benitez-Ramos,367012.5538792253,Consequatur unde omnis quas blanditiis error nihil reprehenderit dolores natus distinctio quos illum voluptates veritatis maiores magni quos quod magnam eveniet.,Pendiente,Isabella Juana Silva,Interés Económico,5,21272.911559676206,,0
191,2022-06-05,Servicios,Gobierno de San Salvador de Jujuy,Castro-Peralta,774317.973054697,Assumenda voluptas non quod enim impedit in ab iste blanditiis facere iste nesciunt voluptatem deleniti aut commodi sint autem facilis.,Pendiente,Milo Guillermina Gutierrez Martinez,Amistad,4,518954.5389259954,,0
192,2023-01-25,Suministro,Gobierno de Córdoba,"Quiroga, Fernandez and Cabrera",181300.21213483976,Quidem dolorem vitae error eius dolor sint assumenda explicabo ipsum alias autem porro.,En Curso,Simon Benjamin Gomez Romero,Amistad,9,63928.557259724046,Voluptates culpa optio dolores est tempore. Est aut quae aliquam.,0
193,2023-10-21,Servicios,Municipalidad de La Rioja,Lopez LLC,260225.77858820482,Id eaque similique veniam dolorum impedit consequuntur voluptate dolores voluptatibus quod dignissimos.,Finalizado,Sr(a). Ivan Diaz,Amistad,5,164639.8491451937,,0
194,2024-10-15,Servicios,Municipalidad de Bahía Blanca,"Luna, Rios and Rojas",61986.79985492191,Doloremque veniam blanditiis architecto impedit at explicabo sapiente vero aspernatur debitis quidem iste ab.,Pendiente,Benjamin Alejandro Alma Jazmin Lopez Fernandez,Ninguna,7,594200.1687467317,Repudiandae dolorem nesciunt quidem fuga ducimus totam. Porro odit facere.,0
195,2022-11-01,Consultoría,Municipalidad de Mendoza,"Barrios, Cordoba and Dominguez",913275.8788806776,Porro cumque est et impedit aut nam reiciendis necessitatibus.,Pendiente,Dr(a). Martin Gutierrez,Interés Económico,1,821311.0643091778,Odit illo vitae. Facilis corporis hic numquam unde qui soluta.,0
196,2024-08-20,Servicios,Municipalidad de Posadas,Mendez-Lopez,744593.3956120273,Delectus fugiat odio exercitationem beatae voluptatibus cupiditate minima minus eaque tempore ut cum itaque voluptates non harum ullam.,Rescindido,Manuel Renata Gomez Acosta,Interés Económico,4,321107.9710070919,Suscipit natus nobis omnis qui nobis. Officia a voluptatum aperiam deserunt.,0
197,2024-12-01,Consultoría,Gobierno de Viedma,Romero Inc,399829.66326248454,Assumenda consectetur cumque sint maxime mollitia nulla quae totam exercitationem incidunt id doloribus deleniti harum.,En Curso,Sr(a). Mateo Agustin Sosa,Interés Económico,2,796423.5102797148,,0
198,2024-09-07,Obra Pública,Gobierno de Rawson,"Godoy, Fernandez and Gonzalez",411851.10585654853,Dolores nostrum occaecati autem magnam magni unde modi sit voluptate quam officiis praesentium optio voluptate veritatis molestiae explicabo.,Pendiente,Lorenzo Acosta,Familiar,4,36111.269569965196,,0
199,2023-12-29,Servicios,Gobierno de San Juan,Ramirez Ltd,263950.9823871121,Accusamus mollitia reiciendis quam aspernatur doloribus laboriosam nulla non vitae maiores molestias libero corporis reiciendis.,Pendiente,Sr(a). Genaro Escobar,Ninguna,2,801763.8549366799,Animi distinctio perspiciatis incidunt consequatur suscipit.,0
200,2024-11-04,Obra Pública,Gobierno de San Miguel de Tucumán,Martin Ltd,823735.0511962961,Rem vitae enim repellat autem eaque vel nostrum quo quos modi voluptate distinctio voluptates eligendi odit expedita consequatur saepe.,Pendiente,Sr(a). Lara Rios,Ninguna,2,476929.5602806619,Corporis mollitia odio dolorem. Quaerat magnam quos.,0
